,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
367,istisu,40.9457,48.0738,77.67,47,0,8.7,AZ,1658828067
368,aranos,-24.1333,19.1167,78.78,19,9,19.62,NA,1658828068
369,atasu,48.6814,71.6433,91.26,13,99,5.82,KZ,1658828068
370,iqaluit,63.7506,-68.5145,42.53,93,20,0.0,CA,1658827992
371,fare,-16.7,-151.0167,78.26,71,72,4.92,PF,1658828069
372,almaznyy,48.0448,40.045,81.68,40,52,10.85,RU,1658828069
373,ahuimanu,21.4447,-157.8378,78.51,76,100,11.5,US,1658828070
374,surt,31.2089,16.5887,85.39,54,0,10.25,LY,1658828070
375,brae,60.3964,-1.353,51.75,72,99,18.68,GB,1658828070
376,agaro,7.85,36.65,72.55,77,98,2.51,ET,1658828071
377,breisach,48.0333,7.5833,79.0,48,0,11.5,DE,1658828071
378,chaman,30.9236,66.4512,90.9,37,77,3.85,PK,1658828072
379,lagoa,39.05,-27.9833,73.26,89,1,10.6,PT,1658828072
380,touros,-5.1989,-35.4608,72.77,81,6,14.0,BR,1658828072
381,klaksvik,62.2266,-6.589,50.92,82,83,4.94,FO,1658828073
382,nemuro,43.3236,145.575,63.91,93,8,7.81,JP,1658828073
383,monrovia,6.3005,-10.7969,76.77,71,96,0.63,LR,1658827845
384,ancud,-41.8697,-73.8203,50.23,91,77,9.89,CL,1658828074
385,hermosillo,29.0667,-110.9667,84.11,68,100,6.91,MX,1658827979
386,kiruna,67.8557,20.2251,58.12,94,100,6.91,SE,1658828118
387,manutuke,-38.6833,177.9167,56.41,82,47,9.75,NZ,1658828119
388,batemans bay,-35.7167,150.1833,47.32,84,76,7.18,AU,1658828119
389,the valley,18.217,-63.0578,81.1,77,30,17.63,AI,1658828119
390,nanga eboko,4.6833,12.3667,76.86,70,97,4.16,CM,1658828120
391,klyuchi,52.2667,79.1667,85.37,27,4,6.98,RU,1658828120
392,san rafael,-34.6177,-68.3301,45.79,95,12,6.24,AR,1658827865
393,ipanema,-30.1391,-51.2244,62.65,95,100,4.61,BR,1658828121
394,syamzha,60.0158,41.0614,75.42,53,72,5.28,RU,1658828121
395,chistoye,56.5375,43.0045,84.09,45,8,5.39,RU,1658828122
396,mabaruma,8.2,-59.7833,71.73,94,98,1.16,GY,1658828123
397,pangnirtung,66.1451,-65.7125,44.33,83,38,3.71,CA,1658828123
398,vitim,59.4511,112.5578,87.73,39,28,5.32,RU,1658828123
399,kirando,-7.4167,30.6,79.12,50,30,13.96,TZ,1658828124
400,yeppoon,-23.1333,150.7333,65.98,85,0,6.11,AU,1658828124
401,okhotsk,59.3833,143.3,58.39,85,3,9.04,RU,1658828124
402,paamiut,61.994,-49.6678,43.3,89,100,7.63,GL,1658828125
403,ahipara,-35.1667,173.1667,55.74,81,38,21.65,NZ,1658828125
404,cedar rapids,42.0083,-91.6441,62.35,94,0,1.01,US,1658828101
405,kaabong,3.4836,34.1492,74.79,54,89,10.87,UG,1658828126
406,bay roberts,47.5999,-53.2648,69.33,95,96,11.01,CA,1658828126
407,carnarvon,-24.8667,113.6333,66.94,52,0,13.96,AU,1658828127
408,salalah,17.0151,54.0924,77.09,100,100,12.66,OM,1658828127
409,thomasville,35.8826,-80.082,73.6,95,100,5.64,US,1658828128
410,comodoro rivadavia,-45.8667,-67.5,37.26,70,75,10.36,AR,1658828128
411,dali,25.7,100.1833,72.41,72,77,5.23,CN,1658828128
412,kearney,40.6995,-99.0815,64.96,99,100,5.75,US,1658828129
413,binzhou,37.3667,118.0167,84.27,65,8,9.73,CN,1658828129
414,jacmel,18.2342,-72.5347,80.44,79,15,3.78,HT,1658828130
415,imbituba,-28.24,-48.6703,63.09,97,1,8.99,BR,1658828130
416,sakakah,29.9697,40.2064,103.57,8,0,2.3,SA,1658828130
417,juneau,58.3019,-134.4197,59.85,99,100,6.91,US,1658828131
418,salvador,13.8333,-88.9167,67.05,98,80,1.99,SV,1658827889
419,aquiraz,-3.9014,-38.3911,73.49,73,60,12.39,BR,1658827957
420,slave lake,55.2834,-114.769,62.58,72,100,5.75,CA,1658827950
421,miri,4.4148,114.0089,84.34,84,40,8.05,MY,1658828132
422,manavalakurichi,8.1333,77.3,86.02,61,42,22.01,IN,1658828132
423,maneadero,31.7167,-116.5667,66.09,86,19,3.0,MX,1658828133
424,scottsbluff,41.8666,-103.6672,66.43,89,0,8.05,US,1658828049
425,korla,41.7597,86.1469,99.72,11,25,13.78,CN,1658828133
426,hovd,48.0056,91.6419,71.56,25,2,9.55,MN,1658828134
427,lata,40.1629,-8.3327,83.48,47,1,7.16,PT,1658828134
428,jackson,42.4165,-122.8345,75.07,56,0,0.0,US,1658828134
429,taltal,-25.4,-70.4833,55.74,83,6,3.89,CL,1658827869
430,iisalmi,63.5592,27.1907,69.51,69,98,10.25,FI,1658828135
431,necochea,-38.5473,-58.7368,53.74,99,100,5.99,AR,1658828135
432,estacion coahuila,32.1939,-115.0017,87.51,51,31,9.42,MX,1658828136
433,carballo,43.213,-8.691,73.0,81,66,8.9,ES,1658828136
434,portland,45.5234,-122.6762,74.16,70,0,4.61,US,1658828137
435,antsohihy,-14.8796,47.9875,89.96,28,0,5.84,MG,1658828137
436,lorengau,-2.0226,147.2712,81.64,76,40,9.75,PG,1658828138
437,kahului,20.8947,-156.47,77.85,77,100,11.01,US,1658828030
438,boueni,-12.9025,45.0761,80.58,69,46,15.97,YT,1658828138
439,dolores,-36.3132,-57.6792,58.33,99,99,6.08,AR,1658828182
440,khelyulya,61.7333,30.6833,67.78,66,99,8.28,RU,1658828183
441,codrington,-38.2667,141.9667,51.8,84,56,11.88,AU,1658828183
442,polunochnoye,60.8697,60.4153,71.04,35,66,4.97,RU,1658828184
443,hokitika,-42.7167,170.9667,47.25,76,47,7.29,NZ,1658828184
444,tolaga bay,-38.3667,178.3,53.89,86,17,8.68,NZ,1658828184
445,eirunepe,-6.6603,-69.8736,69.35,99,16,0.78,BR,1658828185
446,hualmay,-11.0964,-77.6139,60.87,87,98,10.74,PE,1658827966
447,marawi,7.9986,124.2928,71.6,93,100,1.74,PH,1658828178
448,jojoima,7.8792,-10.7878,75.61,79,64,1.1,SL,1658828185
449,requena,39.4883,-1.1004,77.79,47,43,7.05,ES,1658828186
450,saint george,37.1041,-113.5841,72.19,83,0,0.0,US,1658828156
451,maningrida,-12.0667,134.2667,73.42,81,94,8.19,AU,1658828186
452,laguna,38.421,-121.4238,72.09,69,20,10.36,US,1658828187
453,denpasar,-8.65,115.2167,80.26,78,75,18.41,ID,1658828187
454,sikeston,36.8767,-89.5879,76.91,100,0,0.0,US,1658828188
455,panguna,-6.3164,155.4848,68.92,95,96,2.75,PG,1658828188
456,acarau,-2.8856,-40.12,75.72,77,75,12.62,BR,1658827970
457,poronaysk,49.2167,143.1167,59.52,98,100,6.6,RU,1658828188
458,tchibanga,-2.85,11.0333,80.85,53,90,3.47,GA,1658828189
459,chama,47.1821,8.4636,73.67,92,100,0.0,CH,1658828189
460,kanniyakumari,8.0833,77.5667,84.69,66,72,17.47,IN,1658828190
461,oil city,41.4339,-79.7064,58.24,97,20,3.44,US,1658828190
462,utete,-7.986,38.758,88.68,34,86,5.48,TZ,1658828190
463,basco,20.4487,121.9702,86.49,70,16,5.73,PH,1658828191
464,kurtamysh,54.9103,64.4319,82.87,49,98,5.86,RU,1658828191
465,havoysund,70.9963,24.6622,64.63,80,53,6.06,NO,1658828192
466,mountain home,43.133,-115.6912,69.28,24,0,10.36,US,1658827938
467,puerto colombia,10.9878,-74.9547,79.29,85,100,12.75,CO,1658828192
468,talladega,33.4359,-86.1058,73.51,94,0,0.0,US,1658828173
469,mugur-aksy,50.35,90.5,58.8,44,76,7.07,RU,1658828193
470,shingu,33.7333,135.9833,79.21,93,100,2.21,JP,1658828193
471,mwense,-10.3845,28.698,83.19,26,18,8.68,ZM,1658828194
472,vlakhopoulon,37.0333,21.7833,85.51,35,0,6.55,GR,1658828194
473,bunia,1.5667,30.25,80.92,40,91,9.62,CD,1658828194
474,mairena del alcor,37.373,-5.7495,93.67,27,0,2.3,ES,1658828195
475,gamba,-2.65,10.0,76.57,68,99,7.18,GA,1658828196
476,karatuzskoye,53.6072,92.8667,63.77,81,76,5.14,RU,1658828196
477,chara,56.9064,118.2631,81.16,44,50,4.56,RU,1658828196
478,okha,53.5739,142.9478,57.04,95,99,7.72,RU,1658828197
479,santa cruz,-17.8,-63.1667,71.06,94,20,6.91,BO,1658828197
480,bhum,18.4667,75.6667,81.01,64,100,9.35,IN,1658828198
481,karachi,24.9056,67.0822,85.82,74,75,13.8,PK,1658828180
482,zalesovo,53.9939,84.7431,76.64,41,68,7.27,RU,1658828198
483,alta floresta,-9.8756,-56.0861,63.46,59,17,3.76,BR,1658828198
484,kununurra,-15.7667,128.7333,85.98,20,30,9.22,AU,1658828199
485,grindavik,63.8424,-22.4338,52.27,87,100,10.36,IS,1658828199
486,sao joao da barra,-21.6403,-41.0511,66.29,86,2,4.52,BR,1658828200
487,shimoda,34.6667,138.95,80.1,93,100,10.85,JP,1658828200
488,camacha,33.0833,-16.3333,71.02,78,20,17.27,PT,1658828200
489,makakilo city,21.3469,-158.0858,77.32,69,40,8.05,US,1658828201
490,pontianak,-0.0333,109.3333,84.18,74,75,13.8,ID,1658828195
491,araouane,18.9048,-3.5265,101.28,9,97,11.12,ML,1658828201
492,uporovo,56.3109,66.2693,84.07,48,56,6.15,RU,1658828202
493,el guante,14.55,-87.1,62.67,95,25,1.41,HN,1658828202
494,verkhoyansk,67.5447,133.385,81.77,44,94,7.29,RU,1658828195
495,sembe,1.6481,14.5806,83.32,60,78,4.32,CG,1658828248
496,muskegon,43.3,-86.1334,59.25,93,0,0.0,US,1658828117
497,mersing,2.4312,103.8405,84.11,84,40,6.91,MY,1658828248
498,seguela,7.9611,-6.6731,80.98,64,44,3.06,CI,1658828249
499,meulaboh,4.1363,96.1285,77.9,89,100,6.31,ID,1658828249
500,petauke,-14.2426,31.3253,74.98,29,1,7.72,ZM,1658828249
501,aksu,41.1231,80.2644,101.03,12,0,4.03,CN,1658828250
502,quballat,36.5418,9.6633,99.9,13,0,6.96,TN,1658828250
503,nekhayevskiy,50.4106,41.7561,79.97,52,100,4.85,RU,1658828251
504,koppal,15.35,76.15,79.25,65,100,10.13,IN,1658828251
505,fort nelson,58.8053,-122.7002,60.39,82,75,5.75,CA,1658828251
506,kushmurun,52.4503,64.6311,73.98,60,100,25.26,KZ,1658828252
507,poya,-21.35,165.15,69.28,79,44,6.53,NC,1658828252
508,alvaraes,-3.2208,-64.8042,70.18,98,36,0.81,BR,1658828253
509,yerbogachen,61.2767,108.0108,84.83,43,13,11.54,RU,1658828253
510,uaua,-9.8414,-39.4817,66.36,83,100,10.63,BR,1658828253
511,kodyma,48.0988,29.1246,81.81,25,1,6.46,UA,1658828254
512,shiyan,32.6475,110.7781,87.89,64,23,7.47,CN,1658828254
513,maues,-3.3836,-57.7186,71.76,85,11,1.95,BR,1658828254
514,kuching,1.55,110.3333,86.22,74,40,3.44,MY,1658828255
515,taoudenni,22.6783,-3.9836,106.11,9,0,12.93,ML,1658828256
516,pacifica,37.6138,-122.4869,61.61,94,75,6.91,US,1658828064
517,perieti,44.4,24.55,93.06,25,0,5.44,RO,1658828256
518,marystown,47.1666,-55.1483,65.86,100,100,1.01,CA,1658828256
519,milove,49.3787,40.1302,71.26,67,100,3.87,UA,1658828257
520,muros,42.7762,-9.0603,74.08,61,4,8.05,ES,1658828257
521,lakki marwat,32.6079,70.9114,98.28,40,28,5.97,PK,1658828258
522,victoria,22.2855,114.1577,93.25,76,20,7.0,HK,1658828088
523,pandan,14.0453,124.1694,83.68,73,47,1.19,PH,1658828258
524,aksarka,66.5606,67.7975,50.23,82,100,20.71,RU,1658828259
525,saint-joseph,-21.3667,55.6167,75.58,75,24,8.39,RE,1658828259
526,lar,26.2039,83.9717,93.06,50,99,5.61,IN,1658828260
527,kharovsk,59.9642,40.1912,74.41,61,73,5.57,RU,1658828260
528,loknya,56.83,30.1467,76.51,55,24,5.12,RU,1658828260
529,vitoria do mearim,-3.4622,-44.8706,72.03,88,100,2.95,BR,1658828261
530,gambela,8.25,34.5833,88.07,50,100,3.65,ET,1658828261
531,asfi,32.2994,-9.2372,84.78,44,3,15.17,MA,1658828261
532,san martin,-33.081,-68.4681,52.34,90,33,6.42,AR,1658828262
533,kirakira,-10.4544,161.9205,79.0,86,61,8.88,SB,1658828262
534,roald,62.5833,6.1333,57.9,94,75,13.8,NO,1658828263
535,ostrovnoy,68.0531,39.5131,67.78,51,100,19.82,RU,1658828263
536,moree,-29.4667,149.85,50.18,53,0,13.44,AU,1658828263
537,skjervoy,70.0311,20.9714,60.8,88,73,10.25,NO,1658828264
538,anadyr,64.75,177.4833,48.7,81,0,4.47,RU,1658828264
539,khovu-aksy,51.1333,93.6,62.65,43,97,4.29,RU,1658828265
540,ofunato,39.0717,141.7167,75.09,95,46,3.6,JP,1658828265
541,lufilufi,-13.8745,-171.5986,76.78,81,75,19.64,WS,1658828266
542,milos,36.75,24.4333,75.54,73,0,18.59,GR,1658828266
543,buchanan,5.8808,-10.0467,76.21,76,100,2.24,LR,1658828266
544,el rusio,14.4667,-86.3667,63.32,99,34,0.54,HN,1658828267
545,escanaba,45.7453,-87.0646,57.94,92,100,0.0,US,1658828013
546,dwarka,22.2394,68.9678,83.19,77,100,14.65,IN,1658828267
547,mayo,38.8876,-76.5119,75.97,90,99,1.01,US,1658828312
548,coihaique,-45.5752,-72.0662,28.35,86,0,1.14,CL,1658828225
549,gornopravdinsk,60.05,69.9,76.53,51,66,5.97,RU,1658828312
550,kimbe,-5.5502,150.1429,76.98,91,100,2.64,PG,1658828313
551,prieska,-29.6641,22.7474,72.64,29,93,16.89,ZA,1658828054
552,itaituba,-4.2761,-55.9836,71.13,68,26,0.72,BR,1658828313
553,tuburan,6.6439,122.2736,86.09,74,68,8.5,PH,1658828314
554,masvingo,-20.0637,30.8277,60.85,72,100,5.75,ZW,1658828314
555,bafra,41.5678,35.9069,83.23,46,1,9.53,TR,1658828314
556,wanning,18.8003,110.3967,86.11,69,7,5.46,CN,1658828060
557,hopkinton,41.4612,-71.7776,71.24,84,20,0.0,US,1658828315
558,kropotkin,45.4375,40.5756,86.92,35,53,10.29,RU,1658828315
559,daru,-9.0763,143.2092,76.62,86,100,15.7,PG,1658828316
560,shaunavon,49.6501,-108.4181,53.38,89,10,6.78,CA,1658828316
561,kuala terengganu,5.3302,103.1408,76.95,94,20,0.0,MY,1658828317
562,kihei,20.785,-156.4656,77.85,79,100,10.36,US,1658828317
